#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0318812   0.00792660    0.0198338    0.0109532
     0.125067   -0.0646451    0.0152800    0.0627432    0.0171331
     0.187600   -0.0946506   0.00979882     0.111250   0.00934237
     0.250134    -0.128368   0.00561536     0.161814   0.00543518
     0.312667    -0.167801   0.00449825     0.205433   0.00446122
     0.375201    -0.212059   0.00539950     0.235125   0.00645937
     0.437734    -0.262167    0.0125787     0.248402    0.0131401
     0.500267    -0.295638    0.0504462     0.252971    0.0519421
     0.562801     0.313247     0.100451     0.256627     0.108383
     0.625334     0.375351   0.00989688     0.300664   0.00942267
     0.687868     0.415151  0.000801255     0.345378  0.000863641
     0.750401     0.456983  4.70771e-05     0.397386  6.22646e-05
     0.812935     0.500758  0.000963484     0.454887   0.00111283
     0.875468     0.546078  4.61918e-05     0.519673  3.21164e-05
     0.938001     0.593651      0.00000     0.589141      0.00000
      1.00053     0.643140      0.00000     0.661330      0.00000
      1.06307     0.699001  3.00558e-06     0.737440  9.50447e-07
      1.12560     0.757380      0.00000     0.812401      0.00000
      1.18814     0.820185  0.000650807     0.882364  0.000605557
