#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0295370   0.00907761    0.0177678    0.0136533
     0.125067   -0.0590727    0.0208446    0.0621533    0.0240989
     0.187600   -0.0879268    0.0149730     0.107092    0.0148419
     0.250134    -0.120781   0.00907490     0.156034   0.00828606
     0.312667    -0.159341   0.00629131     0.201360   0.00670077
     0.375201    -0.202554   0.00673995     0.234137   0.00811903
     0.437734    -0.253530    0.0151104     0.248931    0.0152031
     0.500267    -0.287785    0.0536697     0.255911    0.0583472
     0.562801     0.281982     0.143397     0.253873     0.176655
     0.625334     0.378082    0.0151686     0.298831    0.0146337
     0.687868     0.417690   0.00121200     0.343292   0.00129218
     0.750401     0.459564  7.02781e-05     0.394914  9.23314e-05
     0.812935     0.503704   0.00100595     0.452018   0.00109381
     0.875468     0.549514  4.86862e-05     0.517138  4.62871e-05
     0.938001     0.597400      0.00000     0.586460      0.00000
      1.00053     0.646880      0.00000     0.658349      0.00000
      1.06307     0.703160      0.00000     0.734750      0.00000
      1.12560     0.762020      0.00000     0.809750      0.00000
      1.18814     0.824970  0.000792212     0.879159  0.000558812
