#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0312288   0.00562606    0.0198072   0.00784702
     0.125067   -0.0623216    0.0121249    0.0603864    0.0135211
     0.187600   -0.0900671   0.00850488     0.107600   0.00818615
     0.250134    -0.121238   0.00509549     0.157075   0.00481357
     0.312667    -0.159392   0.00380143     0.200108   0.00405175
     0.375201    -0.203992   0.00452188     0.230506   0.00539352
     0.437734    -0.254662   0.00993987     0.245962    0.0102310
     0.500267    -0.298499    0.0388289     0.250763    0.0388685
     0.562801     0.328563    0.0753678     0.258352    0.0802453
     0.625334     0.381187   0.00774242     0.300356   0.00727147
     0.687868     0.421338  0.000655606     0.345004  0.000662998
     0.750401     0.463101  3.71193e-05     0.396927  4.98576e-05
     0.812935     0.506890  0.000699718     0.454430  0.000744299
     0.875468     0.552493  2.85959e-05     0.519500  2.85442e-05
     0.938001     0.600060      0.00000     0.589171      0.00000
      1.00053     0.649560      0.00000     0.661219      0.00000
      1.06307     0.706050  2.78171e-06     0.737770  3.77130e-06
      1.12560     0.765289      0.00000     0.813110      0.00000
      1.18814     0.829236  0.000447983     0.882884  0.000311122
