# tglf_ky      tglf_wi_em     tglf_we_em    tglf_gami_em   tglf_game_em
     0.100000   -0.0552566      0.00000     0.103206      0.00000
     0.200000   -0.0934760      0.00000     0.241893      0.00000
     0.300000    -0.142556     0.140440     0.319195     0.129444
     0.400000    -0.211848     0.166163     0.317908     0.227016
     0.500000      0.00000     0.217938      0.00000     0.326948
     0.600000      0.00000     0.282945      0.00000     0.417044
     0.700000      0.00000     0.351653      0.00000     0.501184
     0.800000      0.00000     0.421976      0.00000     0.583476
     0.900000      0.00000     0.494276      0.00000     0.667014
      1.00000      0.00000     0.570189      0.00000     0.754056
