#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0310905   0.00585881    0.0195048   0.00823369
     0.125067   -0.0624555    0.0126900    0.0602952    0.0142172
     0.187600   -0.0907866   0.00877933     0.107179   0.00845836
     0.250134    -0.121277   0.00507040     0.157465   0.00472619
     0.312667    -0.159074   0.00357482     0.201711   0.00386377
     0.375201    -0.203509   0.00410896     0.233151   0.00495889
     0.437734    -0.253956   0.00885327     0.249357   0.00883563
     0.500267    -0.300342    0.0322353     0.254375    0.0318571
     0.562801     0.313481    0.0945556     0.256156     0.112746
     0.625334     0.378638   0.00925695     0.298908   0.00895705
     0.687868     0.418863  0.000754482     0.343553  0.000799801
     0.750401     0.460572  4.41078e-05     0.395107  5.84781e-05
     0.812935     0.504242  0.000751793     0.452241  0.000805109
     0.875468     0.550053  3.03060e-05     0.517270  2.93186e-05
     0.938001     0.597839      0.00000     0.586540      0.00000
      1.00053     0.646850      0.00000     0.658071      0.00000
      1.06307     0.702601  4.94239e-06     0.734601  3.84772e-06
      1.12560     0.761709      0.00000     0.809910      0.00000
      1.18814     0.825477  0.000497024     0.879259  0.000349081
