#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0312490   0.00439393    0.0194486   0.00614965
     0.125067   -0.0631951   0.00990740    0.0586293    0.0111141
     0.187600   -0.0911759   0.00655762     0.107034   0.00624487
     0.250134    -0.121824   0.00365653     0.157747   0.00342397
     0.312667    -0.159415   0.00248746     0.201680   0.00269299
     0.375201    -0.203995   0.00274849     0.233023   0.00332122
     0.437734    -0.254320   0.00575807     0.249849   0.00568902
     0.500267    -0.304962    0.0198576     0.254239    0.0197149
     0.562801     0.311250    0.0851281     0.254276     0.106762
     0.625334     0.375498   0.00760324     0.294631   0.00755906
     0.687868     0.415303  0.000622897     0.338990  0.000683873
     0.750401     0.456921  3.78574e-05     0.390739  4.85770e-05
     0.812935     0.500778  0.000565912     0.448044  0.000608057
     0.875468     0.546578  2.44785e-05     0.512783  2.22202e-05
     0.938001     0.594452      0.00000     0.582260      0.00000
      1.00053     0.644314         -NaN     0.654310      0.00000
      1.06307     0.700797  0.000106801     0.730465  5.84704e-05
      1.12560     0.759723      0.00000     0.805350      0.00000
      1.18814     0.849857    0.0395311     0.886015    0.0172655
