#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0310503   0.00809272    0.0196886    0.0112919
     0.125067   -0.0603086    0.0173141    0.0618620    0.0196193
     0.187600   -0.0890353    0.0121072     0.107985    0.0117333
     0.250134    -0.121339   0.00726852     0.157436   0.00681113
     0.312667    -0.159646   0.00532958     0.201638   0.00574424
     0.375201    -0.203099   0.00626011     0.233083   0.00753621
     0.437734    -0.253124    0.0136844     0.247929    0.0138311
     0.500267    -0.288515    0.0494641     0.254488    0.0510602
     0.562801     0.304944     0.115877     0.255682     0.134930
     0.625334     0.380788    0.0122419     0.300785    0.0117402
     0.687868     0.420728   0.00102485     0.345237   0.00107746
     0.750401     0.462755  5.99802e-05     0.397164  7.90657e-05
     0.812935     0.506809  0.000964207     0.454370  0.000989259
     0.875468     0.552427  4.29061e-05     0.519460  4.30912e-05
     0.938001     0.600120      0.00000     0.589000      0.00000
      1.00053     0.649791      0.00000     0.661100      0.00000
      1.06307     0.705923  4.06894e-06     0.737440      0.00000
      1.12560     0.764649      0.00000     0.812599      0.00000
      1.18814     0.828556  0.000678937     0.882637  0.000474741
