#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0311165   0.00602452    0.0197115   0.00829856
     0.125067   -0.0623945    0.0129618    0.0604134    0.0145071
     0.187600   -0.0903439   0.00893718     0.107975   0.00855218
     0.250134    -0.121572   0.00530186     0.157962   0.00499565
     0.312667    -0.159378   0.00389507     0.201674   0.00418479
     0.375201    -0.203453   0.00457845     0.232752   0.00550295
     0.437734    -0.253631   0.00999030     0.248550    0.0101067
     0.500267    -0.297425    0.0373962     0.253665    0.0373246
     0.562801     0.320718    0.0879221     0.258012    0.0999074
     0.625334     0.380507   0.00892356     0.300697   0.00854973
     0.687868     0.420779  0.000748303     0.345241  0.000784099
     0.750401     0.462763  4.39637e-05     0.397186  5.77629e-05
     0.812935     0.506795  0.000750990     0.454588  0.000803111
     0.875468     0.552444  3.13166e-05     0.519481  3.16589e-05
     0.938001     0.600129      0.00000     0.589020      0.00000
      1.00053     0.649811      0.00000     0.661119      0.00000
      1.06307     0.705941  2.85887e-06     0.737464  4.92390e-06
      1.12560     0.764670      0.00000     0.812631      0.00000
      1.18814     0.828647  0.000498745     0.882629  0.000347834
