% ES collisions, pitch angle scattering only - GKW results (GYRO units)

%  ktrho_s    omega    gamma 
    0.0929   -0.0468    0.0431
    0.1858   -0.0889    0.1095
    0.2786   -0.1366    0.1760
    0.3715   -0.1999    0.2244
    0.4644   -0.2750    0.2455
    0.5573    0.3448    0.2557
    0.6502    0.4026    0.3026
    0.7430    0.4606    0.3654
    0.8359    0.5214    0.4366
    0.9288    0.5842    0.5163
    1.0217    0.6486    0.6040
    1.1146    0.7137    0.6989
    1.2074    0.7794    0.8002
