#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334    0.0214811   0.00311100     0.103136   0.00308236
     0.125067    0.0254244  4.08393e-05     0.221914  8.75662e-05
     0.187600    0.0234723  1.70070e-06     0.321497  1.06966e-05
     0.250134    0.0173831  4.52409e-07     0.396900  2.08611e-06
     0.312667    0.0105991  5.22551e-07     0.445700  1.47179e-06
     0.375201    0.0102504  2.03633e-06     0.467819  8.56102e-07
     0.437734    0.0285365  5.27175e-06     0.468752  7.75223e-06
     0.500267    0.0737481  1.74050e-05     0.468765  2.62144e-05
     0.562801     0.129717  1.65662e-05     0.482643  2.65650e-05
     0.625334     0.185602  9.47038e-06     0.506270  8.19491e-06
     0.687868     0.238020  2.08714e-06     0.535940  1.49091e-06
     0.750401     0.289190  1.47618e-06     0.571151      0.00000
     0.812935     0.339836   0.00102497     0.611020   0.00102876
     0.875468     0.390282  7.53189e-05     0.655735  9.37746e-05
     0.938001     0.441440      0.00000     0.704949      0.00000
      1.00053     0.490490      0.00000     0.757469      0.00000
      1.06307     0.546960   0.00121062     0.813233  0.000776557
      1.12560     0.600601  1.47618e-06     0.869529  2.39696e-06
      1.18814     0.654714   0.00243796     0.925126   0.00238494
