#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334    0.0228703   0.00106026     0.100398  0.000696507
     0.125067    0.0295375  3.54542e-05     0.217785  0.000107048
     0.187600    0.0300670  2.89139e-06     0.317147  1.20844e-05
     0.250134    0.0258903  1.06910e-06     0.393619  3.07167e-06
     0.312667    0.0201724  1.09896e-06     0.444510  1.98556e-06
     0.375201    0.0196564  2.11250e-06     0.469420  9.00207e-07
     0.437734    0.0358320  3.59408e-06     0.472962  8.68030e-06
     0.500267    0.0779211  1.52093e-05     0.473246  2.32275e-05
     0.562801     0.132378  1.54981e-05     0.485862  2.61654e-05
     0.625334     0.187742  1.04224e-05     0.508750  8.85967e-06
     0.687868     0.240110  2.68487e-06     0.537700  1.56813e-06
     0.750401     0.291300  1.78345e-06     0.572540      0.00000
     0.812935     0.342167   0.00102355     0.612165   0.00101286
     0.875468     0.392648  9.39562e-05     0.656543  0.000112021
     0.938001     0.444030      0.00000     0.705610      0.00000
      1.00053     0.493140      0.00000     0.757889      0.00000
      1.06307     0.549916   0.00111221     0.813572  0.000697408
      1.12560     0.603981  2.19209e-06     0.869651  2.16584e-06
      1.18814     0.658516   0.00289209     0.924885   0.00305586
