#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 0.0000000E+00   0.0000000E+00   1.7104625E+00   1.3926931E+00   1.2741411E+00
 2.0000000E-02   1.3569397E-02   1.7103933E+00   1.3885079E+00   1.2736290E+00
 4.0000000E-02   2.7078260E-02   1.7102097E+00   1.3958610E+00   1.2727554E+00
 6.0000000E-02   4.0926194E-02   1.7099076E+00   1.4109147E+00   1.2733009E+00
 8.0000000E-02   5.4557678E-02   1.7094911E+00   1.4296643E+00   1.2746692E+00
 1.0000000E-01   6.8081823E-02   1.7089740E+00   1.4506600E+00   1.2764148E+00
 1.2000000E-01   8.1628579E-02   1.7083596E+00   1.4725134E+00   1.2782544E+00
 1.4000000E-01   9.5163867E-02   1.7076609E+00   1.4938849E+00   1.2801071E+00
 1.6000000E-01   1.0861573E-01   1.7068913E+00   1.5136673E+00   1.2819598E+00
 1.8000000E-01   1.2206816E-01   1.7060579E+00   1.5308684E+00   1.2837071E+00
 2.0000000E-01   1.3548312E-01   1.7051727E+00   1.5452433E+00   1.2852636E+00
 2.2000000E-01   1.4890466E-01   1.7042421E+00   1.5569825E+00   1.2866546E+00
 2.4000000E-01   1.6229066E-01   1.7032770E+00   1.5665051E+00   1.2878725E+00
 2.6000000E-01   1.7564362E-01   1.7022841E+00   1.5744698E+00   1.2889293E+00
 2.8000000E-01   1.8899823E-01   1.7012660E+00   1.5818181E+00   1.2898585E+00
 3.0000000E-01   2.0232854E-01   1.7002296E+00   1.5895232E+00   1.2907186E+00
 3.2000000E-01   2.1564589E-01   1.6991770E+00   1.5983945E+00   1.2915462E+00
 3.4000000E-01   2.2891579E-01   1.6981147E+00   1.6093035E+00   1.2923849E+00
 3.6000000E-01   2.4216384E-01   1.6970422E+00   1.6230663E+00   1.2933171E+00
 3.8000000E-01   2.5537131E-01   1.6959642E+00   1.6400101E+00   1.2943826E+00
 4.0000000E-01   2.6854779E-01   1.6948821E+00   1.6601452E+00   1.2956029E+00
 4.2000000E-01   2.8168008E-01   1.6937972E+00   1.6832392E+00   1.2969911E+00
 4.4000000E-01   2.9477678E-01   1.6927080E+00   1.7093231E+00   1.2985605E+00
