#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0379203  0.000942093    0.0256387  0.000224817
     0.125067   -0.0803921  0.000165605    0.0578634  0.000185094
     0.187600    -0.120046  4.02072e-05    0.0863314  7.18867e-05
     0.250134    -0.160707  2.06988e-05     0.111880  4.81224e-05
     0.312667    -0.203244  1.96322e-05     0.132184  2.62654e-05
     0.375201    -0.248106  3.61683e-05     0.146283  2.95399e-05
     0.437734    -0.294659  5.66748e-05     0.153115  1.20363e-05
     0.500267    -0.341561  4.37354e-05     0.152635  4.11239e-05
     0.562801    -0.387823  3.83663e-05     0.145422  8.59161e-05
     0.625334    -0.432718  2.73725e-05     0.132039  0.000160632
     0.687868    -0.475704  0.000118086     0.112866  0.000228591
     0.750401    -0.516460  0.000688562    0.0877139  0.000417212
     0.812935    -0.556311   0.00365031    0.0553489   0.00177186
     0.875468    -0.576496    0.0142968    0.0213579    0.0394850
     0.938001    -0.558278    0.0143352    0.0227490    0.0249836
      1.00053    -0.590967    0.0236021    0.0173464    0.0245761
      1.06307    -0.638524    0.0514179    0.0109566    0.0456825
      1.12560    -0.720249     0.118640   0.00116578    0.0996735
      1.18814    -0.805780     0.132955  -0.00184518     0.146411
