#ktrho_s   omega   omega_stddev    gamma   gamma_stddev
      0.00000      0.00000      0.00000      0.00000      0.00000
    0.0625334   -0.0307377   0.00663745    0.0196954   0.00921660
     0.125067   -0.0613199    0.0153666    0.0606556    0.0171778
     0.187600   -0.0896071    0.0105689     0.107886    0.0103632
     0.250134    -0.120898   0.00643709     0.157587   0.00586165
     0.312667    -0.158763   0.00445336     0.201296   0.00510683
     0.375201    -0.202665   0.00543899     0.232594   0.00640489
     0.437734    -0.252466    0.0116670     0.248083    0.0112200
     0.500267    -0.295266    0.0402175     0.253058    0.0411624
     0.562801     0.309954    0.0865912     0.260614    0.0925604
     0.625334     0.367001   0.00846766     0.302318   0.00880395
     0.687868     0.409812  0.000736912     0.345470  0.000862748
     0.750401     0.453302  5.63674e-05     0.391785  7.00544e-05
     0.812935     0.495740  4.63765e-06     0.442640  3.04900e-06
     0.875468     0.537331      0.00000     0.499290  1.30705e-06
     0.938001     0.579191      0.00000     0.561790      0.00000
      1.00053     0.621669  1.00696e-05     0.629610  6.91360e-06
      1.06307     0.672947    0.0105249     0.702541   0.00683673
      1.12560     0.707831      0.00000     0.778849      0.00000
      1.18814     0.753141  4.01708e-10     0.859541      0.00000
